"Comment","Designator","Footprint","LCSC Part #"
"74HC14","U101 U102 U201","TSSOP-14","C6066"
"10K","R101 R104 R107 R110 R113 R116 R102 R105 R103 R106 R108 R111 R109 R112 R114 R117 R115 R118 R121 R124 R120 R123 R119 R122 R201 R203 R202 R204 R205 R207 R206 R208 R209 R210","0603","C98220"
"10nF","C101 C104 C107 C102 C103 C105 C106 C108 C109 C112 C111 C110 C201 C202 C203 C204 C205","0603","C115056"
"100nF","C113 C114 C206","0603","C14663"
"ENC28J60","J301","",""
"SW_ForceSetup","SW301","SMD","C388883"
"SW_Reset","SW302","SMD","C388883"
"OS102011MA1QN1C","SW303","",""
"DOIT-ESP32-DEVKIT-V1_30PIN","U301","",""
